Y,X,Hash0,Hash3,
175,36027,0.472816,0.430097,
176,9534,0.433333,0.437374,
177,28635,0.335984,0.306163,
178,73738,0.404995,0.429967,
179,63198,0.361336,0.370445,
180,5040,0.434394,0.4334,
181,59458,0.355828,0.326176,
182,77377,0.464286,0.440476,
183,42152,0.507274,0.512124,
184,34993,0.383021,0.411649,
185,52079,0.318271,0.287819,
186,46058,0.502548,0.533129,
187,38816,0.448731,0.443655,
188,18435,0.413442,0.449084,
189,2962,0.559339,0.555447,
190,33988,0.399181,0.362334,
191,3857,0.369378,0.35311,
192,38453,0.448938,0.427705,
193,27531,0.307385,0.332335,
194,40001,0.49,0.464,
195,3857,0.393509,0.366126,
196,63306,0.316306,0.355599,
197,30538,0.348768,0.355665,
198,71578,0.407855,0.438066,
199,70429,0.404595,0.402597,
200,50589,0.265025,0.268966,
201,19362,0.437247,0.448381,
202,81571,0.493441,0.480323,
203,63487,0.349336,0.34525,
204,19976,0.415493,0.478873,
205,82764,0.48286,0.471107,
206,76266,0.432323,0.416162,
207,81238,0.504282,0.472883,
208,59417,0.332627,0.331568,
209,61449,0.360242,0.365288,
210,75973,0.451,0.412,
211,58769,0.362895,0.340469,
212,54810,0.300403,0.294355,
213,67979,0.364532,0.350739,
214,77000,0.487205,0.482283,
215,39200,0.456456,0.408408,
216,79522,0.475132,0.42963,
217,12497,0.295367,0.275097,
218,50915,0.28999,0.291022,
219,24192,0.577188,0.569322,
220,63263,0.359712,0.371017,
221,11830,0.520357,0.553128,
222,23307,0.534532,0.555345,
223,32081,0.39553,0.37415,
224,70846,0.380338,0.39424,
225,64894,0.402938,0.3851,
226,5618,0.506572,0.527806,
227,2732,0.495558,0.511352,
228,22059,0.498539,0.477118,
229,29361,0.342105,0.338346,
230,82338,0.500477,0.429933,
231,14760,0.349602,0.332669,
232,53882,0.308839,0.284345,
233,51766,0.30642,0.276265,
234,8771,0.409417,0.405322,
235,19845,0.491071,0.444444,
236,41300,0.472782,0.43246,
237,77298,0.446463,0.459847,
238,5431,0.524704,0.509881,
239,6203,0.288798,0.252826,
240,5947,0.547502,0.556317,
