Y,X,Hash0,Hash1,Hash2,Hash3,Hash4,
93,68738,0.370664,210.368,84.9792,0.404361,42.0159,
94,8562,0.365,34.043,10.577,0.404,13.419,
95,40023,0.477152,164.746,48.2795,0.44102,33.0446,
96,48,0.252747,1.97802,0.241758,0.296703,0.791209,
97,7070,0.35166,29.666,8.38485,0.303942,10.3185,
98,16162,0.39662,67.8012,20.4513,0.387674,19.7763,
99,12496,0.313404,52.9065,15.8042,0.284474,14.1649,
100,25447,0.301065,103.928,30.8277,0.316554,21.5663,
101,76460,0.444878,208.812,93.4195,0.437073,38.4907,
102,54201,0.346076,172.454,70.2686,0.350101,37.3944,
103,74645,0.401914,230.594,93.8019,0.415311,38.0364,
104,18533,0.399806,81.8209,23.0736,0.440465,25.7986,
105,1363,0.525123,10.599,1.61675,0.501478,6.79409,
106,20463,0.446305,81.866,24.6079,0.450246,21.1261,
107,57139,0.368421,173.97,72.4889,0.339069,36.5354,
108,14193,0.32918,58.6469,17.4154,0.325026,19.3385,
109,44245,0.507246,185.899,54.4193,0.516563,35.3747,
110,26993,0.291881,105.961,32.8438,0.288798,23.2682,
111,66262,0.39438,204.28,81.0785,0.366279,45.3634,
112,54695,0.283213,153.061,65.9753,0.30484,42.1988,
113,56809,0.380705,169.053,68.0809,0.310166,27.8579,
114,45613,0.533923,188.821,58.3274,0.533923,33.7896,
115,43766,0.501581,185.759,54.4573,0.4647,32.3003,
116,74984,0.450746,210.08,90.5095,0.426866,45.6557,
117,72449,0.431864,212.409,89.9399,0.410822,45.2515,
118,37572,0.435,158.229,47.028,0.436,32.358,
119,52934,0.320641,156.421,65.0681,0.306613,39.4469,
120,36207,0.438445,147.667,45.6803,0.394168,28.3542,
121,29648,0.348361,118.056,36.999,0.328893,24.4734,
122,36427,0.417734,145.688,43.5291,0.416749,26.3665,
123,45294,0.494845,190.686,58.5103,0.546392,36.2897,
124,48943,0.57157,204.42,58.7275,0.53307,45.2231,
125,57887,0.37182,185.174,68.7202,0.360078,41.3366,
126,48957,0.617476,201.182,58.8757,0.587379,44.0388,
127,20349,0.453704,81.7788,24.6204,0.438272,24.6656,
128,33862,0.36008,143.462,39.2859,0.391174,25.2156,
129,32207,0.356367,132.549,38.4511,0.375123,28.8361,
130,76592,0.455357,232.901,98.2738,0.460317,47.247,
131,23880,0.571429,98.3816,29.7532,0.562438,31.1828,
132,63807,0.401623,185.776,79.0629,0.374239,39.1734,
133,5042,0.470276,19.6741,6.2707,0.446921,12.1677,
134,76,0.434211,3.13158,0.434211,0.519737,2.07895,
135,57259,0.313192,180.508,72.5398,0.344411,32.4099,
136,40859,0.505976,178.657,51.1394,0.484064,34.3655,
137,6116,0.531957,23.9617,7.28909,0.553589,12.0619,
138,23532,0.56443,97.3056,28.7551,0.543131,27.4473,
139,37272,0.440969,151.068,42.995,0.392533,30.8577,
140,72086,0.427502,218.782,88.0384,0.429373,49.3096,
141,67023,0.366397,190.581,80.9615,0.3917,47.4929,
142,80373,0.451679,240.834,98.591,0.475076,36.9186,
143,80569,0.456814,230.783,98.524,0.43666,42.9578,
144,53984,0.3343,154.39,64.0744,0.291787,35.0995,
145,56551,0.315844,164.576,69.6636,0.350823,38.713,
146,85270,0.51277,252.407,105.497,0.497053,59.2721,
147,38170,0.428571,156.508,49.2482,0.413374,36.4853,
148,47381,0.604747,196.591,59.1868,0.498452,48.7792,
149,47663,0.545918,193.631,59.0694,0.586735,39.4194,
150,47783,0.54251,196.645,59.582,0.543522,38.1943,
151,64175,0.369565,197.889,78.3437,0.365424,41.1046,
152,31073,0.358074,126.326,36.2237,0.351053,23.671,
153,27018,0.288386,111.866,33.9154,0.334646,19.7972,
154,27694,0.289628,112.578,33.953,0.351272,22.4051,
155,4639,0.413347,20.2092,5.5,0.408367,9.67131,
156,21499,0.477733,91.004,25.3593,0.501012,25.4575,
157,34435,0.371227,146.286,40.7435,0.374245,31.8773,
158,4204,0.384541,17.1556,5.18068,0.395169,9.1343,
159,45426,0.521182,182.083,54.6936,0.553695,34.87,
160,51186,0.300104,158.395,63.2492,0.317757,31.5504,
161,42237,0.465465,175.504,50.6076,0.479479,32.8128,
162,20007,0.435367,78.999,25.152,0.445708,22.5326,
163,82696,0.481752,255.562,103.045,0.50365,49.8363,
164,78577,0.444444,231.13,97.1478,0.426587,52.0188,
165,26834,0.310241,112.968,33.4307,0.306225,26.6707,
166,8824,0.376598,34.9774,11.0737,0.402163,12.4051,
167,47347,0.611707,199.655,56.8156,0.583415,38.3922,
168,41537,0.442786,170.132,51.3582,0.464677,37.7443,
169,79657,0.456158,243.599,99.5724,0.482759,56.3123,
170,17453,0.404573,73.2485,21.2684,0.38668,18.6143,
171,6871,0.32696,30.0067,8.06405,0.3174,10.3098,
172,52012,0.283938,159.505,64.3523,0.307772,24.8435,
173,60841,0.374874,190.127,77.003,0.340704,31.7719,
174,67152,0.379147,209.767,82.9867,0.432227,48.9014,
175,78147,0.445565,219.175,94.3165,0.419355,50.7903,
176,43865,0.521479,183.784,53.7213,0.497502,35.6983,
177,50762,0.304771,149.766,61.927,0.306719,31.1792,
178,85231,0.482021,248.275,103.932,0.49757,53.6764,
179,63062,0.321678,197.667,77.035,0.380619,37.3177,
180,26263,0.288703,117.062,32.6684,0.324268,20.5575,
181,5580,0.517454,22.4713,6.5883,0.517454,11.4836,
182,50583,0.304781,145.997,62.1175,0.276892,36.3237,
183,32173,0.395025,133.831,37.1403,0.389055,25.7851,
184,57368,0.327,170.235,72.793,0.331,31.805,
185,9155,0.412538,37.1668,11.004,0.385238,14.185,
186,5993,0.527179,24.5333,7.15692,0.53641,14.4533,
187,49275,0.27933,147.506,60.7728,0.256052,30.3119,
188,11451,0.534219,46.4249,14.0633,0.516854,16.8948,
189,62712,0.374759,189.534,73.9441,0.349711,47.4952,
190,28954,0.327723,116.39,34.2911,0.321782,26.1218,
191,63188,0.366472,181.836,78.2778,0.382066,34.0731,
192,13538,0.309237,56.2369,16.762,0.300201,17.3263,
193,4039,0.41776,16.6912,5.04541,0.379415,8.77497,
194,40282,0.446535,168.865,50.6733,0.476238,31.5089,
195,78395,0.430627,232.707,97.0123,0.453237,47.7575,
196,35388,0.397638,148.559,43.1319,0.410433,29.8514,
197,37175,0.468843,149.41,45.5974,0.426311,28.9822,
198,26582,0.317121,106.591,34.0574,0.322957,23.6479,
199,21803,0.531935,94.4652,26.4709,0.48999,25.2974,
200,35473,0.410494,145.906,44.0576,0.399177,31.5813,
201,11007,0.529295,46.28,13.3704,0.518371,17.1609,
202,19415,0.424823,78.8708,23.9243,0.463169,25.4682,
203,70177,0.407143,193.388,82.5724,0.381633,42.8102,
204,5989,0.510769,24.4062,7.43282,0.492308,12.8041,
205,54770,0.30297,163.416,69.3109,0.311881,38.8901,
206,48652,0.570866,205.366,59.6161,0.543307,39.4852,
207,9080,0.426181,38.2904,11.1575,0.385827,13.0581,
208,4077,0.371643,18.0623,5.10097,0.403867,10.0021,
209,30938,0.327919,128.561,36.7452,0.372589,29.0173,
210,38207,0.456583,161.628,46.8665,0.473389,31.2026,
211,65012,0.349076,197.951,80.6571,0.350103,39.4856,
212,62329,0.378863,185.135,80.7687,0.35992,37.5234,
213,24827,0.296693,102.816,30.4212,0.29572,20.6119,
214,34835,0.392216,155.578,43.8024,0.404192,30.5409,
215,40703,0.469087,173.561,51.107,0.482826,31.4504,
